effectSizes_quest,sig_amy
-0.235581412911415,1
-0.190151870250702,1
-0.149738222360611,1
-0.105102233588696,1
-0.0909072309732437,1
-0.104131050407887,1
-0.143992990255356,1
-0.162026464939117,1
-0.175480887293816,1
-0.197449505329132,1
-0.207292884588242,1
-0.228547483682632,1
-0.252030104398727,1
-0.263186693191528,1
-0.277351498603821,1
-0.270861595869064,1
-0.253058314323425,1
-0.270648926496506,1
-0.251919984817505,1
-0.252057045698166,1
-0.252909392118454,1
-0.234431520104408,1
-0.230679497122765,1
-0.192457795143127,1
-0.154699504375458,1
-0.118033975362778,1
-0.104172222316265,1
-0.129227533936501,1
-0.165379896759987,1
-0.171677440404892,1
-0.173332870006561,1
-0.193959102034569,1
-0.190586984157562,1
-0.190165162086487,1
-0.213501110672951,1
-0.242507964372635,1
-0.259592175483704,1
-0.241897121071815,1
-0.2419353723526,1
-0.241198122501373,1
-0.195360749959946,1
-0.171698614954948,1
-0.173337280750275,1
-0.183963716030121,1
-0.21711203455925,1
-0.208373203873634,1
-0.195721328258514,1
-0.159941524267197,1
-0.147181615233421,1
-0.160369545221329,1
-0.172773212194443,1
-0.177362769842148,1
-0.158328995108604,1
-0.158840104937553,1
-0.151016250252724,1
-0.146507039666176,1
-0.112438529729843,1
-0.161954894661903,1
-0.223468750715256,1
-0.254410684108734,1
-0.23023048043251,1
-0.201865628361702,1
-0.178519159555435,1
-0.16684390604496,1
-0.148377627134323,1
-0.112736076116562,1
-0.1087541654706,1
-0.103874817490578,1
-0.0613898560404778,1
-0.106576755642891,1
-0.177225485444069,1
-0.232238456606865,1
-0.245630249381065,1
-0.230431646108627,1
-0.194901362061501,1
-0.177491247653961,1
-0.14208659529686,1
-0.0863733217120171,1
-0.088475227355957,1
-0.139985039830208,1
-0.19714044034481,1
-0.223834052681923,1
-0.234040796756744,1
-0.207922890782356,1
-0.182921424508095,1
-0.141304790973663,1
-0.0856203511357307,1
-0.177938789129257,1
-0.18591596186161,1
-0.192165583372116,1
-0.196928650140762,1
-0.210824325680733,1
-0.212601080536842,1
-0.253743141889572,1
-0.199254348874092,1
-0.208413168787956,1
-0.212609961628914,1
-0.216116234660149,1
-0.231335759162903,1
-0.240627571940422,1
-0.247533932328224,1
-0.259142160415649,1
-0.273033738136292,1
-0.282000094652176,1
-0.210015758872032,1
-0.218139305710793,1
-0.230327114462852,1
-0.239463299512863,1
-0.244475334882736,1
-0.255591869354248,1
-0.263092696666718,1
-0.275874823331833,1
-0.288459926843643,1
-0.291410475969315,1
-0.216882705688477,1
-0.236337035894394,1
-0.238379567861557,1
-0.241883784532547,1
-0.239128425717354,1
-0.253249496221542,1
-0.262430161237717,1
-0.284411162137985,1
-0.274590879678726,1
-0.288631021976471,1
-0.308147192001343,1
-0.305250912904739,1
-0.29640606045723,1
-0.296170115470886,1
-0.290678888559341,1
-0.284961134195328,1
-0.2687848508358,1
-0.230421915650368,1
-0.182250261306763,1
-0.161082223057747,1
-0.248920634388924,1
-0.255401730537415,1
-0.247097194194794,1
-0.248531341552734,1
-0.261766046285629,1
-0.27905535697937,1
-0.297763556241989,1
-0.209091022610664,1
-0.236966103315353,1
-0.258993357419968,1
-0.280225187540054,1
-0.290914118289948,1
-0.280848920345306,1
-0.268354296684265,1
-0.276395708322525,1
-0.281488299369812,1
-0.272579938173294,1
-0.287184327840805,1
-0.277615547180176,1
-0.289553791284561,1
-0.27006059885025,1
-0.235269114375114,1
-0.192247331142426,1
-0.184173852205276,1
-0.154437735676765,1
-0.241708487272263,1
-0.257710456848145,1
-0.261018842458725,1
-0.264356285333633,1
-0.253135740756989,1
-0.264743953943253,1
-0.278657704591751,1
-0.279143124818802,1
-0.26164510846138,1
-0.252574145793915,1
-0.23552705347538,1
-0.235482007265091,1
-0.236784040927887,1
-0.208889350295067,1
-0.187463387846947,1
-0.179309099912643,1
-0.183043211698532,1
-0.205027163028717,1
-0.23015308380127,1
-0.253922432661057,1
-0.260569661855698,1
-0.271092087030411,1
-0.262330412864685,1
-0.252682954072952,1
-0.251111209392548,1
-0.257298707962036,1
-0.264564156532288,1
-0.28347447514534,1
-0.284665882587433,1
-0.289207130670547,1
-0.27715590596199,1
-0.241230010986328,1
-0.203245013952255,1
-0.184173479676247,1
-0.239393517374992,1
-0.260247409343719,1
-0.275168597698212,1
-0.28047987818718,1
-0.281001567840576,1
-0.275136232376099,1
-0.260774612426758,1
-0.249664485454559,1
-0.238482877612114,1
-0.243674889206886,1
-0.243847846984863,1
-0.239697352051735,1
-0.24650727212429,1
-0.22968615591526,1
-0.23332867026329,1
-0.229587480425835,1
-0.232856661081314,1
-0.230835720896721,1
-0.22470635175705,1
-0.207647040486336,1
-0.202807247638702,1
-0.197432547807693,1
-0.189561188220978,1
-0.207476675510406,1
-0.228911027312279,1
-0.245788529515266,1
-0.254298448562622,1
-0.262008935213089,1
-0.252509921789169,1
-0.249880686402321,1
-0.246731355786324,1
-0.244320526719093,1
-0.249902129173279,1
-0.278184682130814,1
-0.278254270553589,1
-0.285559237003326,1
-0.270602941513062,1
-0.248603567481041,1
-0.217968732118607,1
-0.195818334817886,1
-0.227174028754234,1
-0.260947525501251,1
-0.269780069589615,1
-0.279400169849396,1
-0.313599020242691,1
-0.268335402011871,1
-0.253264963626862,1
-0.230081811547279,1
-0.20924799144268,1
-0.214771911501884,1
-0.233866825699806,1
-0.249194964766502,1
-0.247796073555946,1
-0.24088691174984,1
-0.240994781255722,1
-0.238629192113876,1
-0.244817823171616,1
-0.245857879519463,1
-0.238272830843925,1
-0.217060849070549,1
-0.209374338388443,1
-0.209077134728432,1
-0.199554175138474,1
-0.214211091399193,1
-0.231256917119026,1
