effectSizes_rating_withBrehl,sig_rating_withBrehl
-0.0331162512302399,0
-0.0299506708979607,0
-0.0231554936617613,0
-0.0309826154261827,0
-0.0274190586060286,0
-0.0291991978883743,0
-0.0299648120999336,0
-0.0438217446208,0
-0.0540152005851269,0
-0.0597591809928417,0
-0.0620022565126419,0
-0.0710974633693695,0
-0.070002481341362,0
-0.0693786591291428,0
-0.0647188052535057,0
-0.0688782557845116,0
-0.0241767447441816,0
-0.0207338146865368,0
-0.0365593507885933,0
-0.0320536717772484,0
-0.0385538414120674,0
-0.0409740693867207,0
-0.039812121540308,0
-0.0391870774328709,0
-0.0524561069905758,0
-0.0666602328419685,0
-0.0689265802502632,0
-0.0687249973416328,0
-0.0751159489154816,0
-0.0631867870688438,0
-0.0669902488589287,0
-0.0704907327890396,0
-0.0694466456770897,0
-0.0101475538685918,0
-0.0163076296448708,0
-0.0300999004393816,0
-0.0377919264137745,0
-0.0393773913383484,0
-0.0471987091004848,0
-0.0453145690262318,0
-0.0624832846224308,0
-0.063222773373127,0
-0.0611763149499893,0
-0.0588032193481922,0
-0.0482663474977016,0
-0.058499600738287,0
-0.0652514845132828,0
-0.0671773627400398,0
0.00547520443797112,0
0.0079063419252634,0
-0.0151875410228968,0
-0.0294566825032234,0
-0.0415965355932713,0
-0.0555445849895477,0
-0.0452079810202122,0
-0.0507809594273567,0
-0.0448069386184216,0
-0.0434726886451244,0
-0.0440943725407124,0
-0.0454845353960991,0
-0.0455328859388828,0
-0.0529605932533741,0
0.00246823066845536,0
0.00350448582321405,0
-0.00431132456287742,0
-0.0191517602652311,0
-0.0353253856301308,0
-0.0341632477939129,0
-0.0236390568315983,0
-0.0303655713796616,0
-0.032149326056242,0
-0.00498070893809199,0
0.000115939692477696,0
0.000482977397041395,0
-0.0306489318609238,0
-0.0264135412871838,0
-0.010538169182837,0
-0.0146569404751062,0
-0.020066162571311,0
-0.0240043010562658,0
-0.0168779976665974,0
-0.0292637217789888,0
-0.0428792349994183,0
-0.0415537655353546,0
-0.00566163240000606,0
0.00823815260082483,0
0.0106776710599661,0
0.00924213696271181,0
0.00257816771045327,0
-0.00728102214634418,0
-0.0105064092203975,0
-0.0181828550994396,0
-0.0394816324114799,0
-0.0544579327106476,0
-0.0574003159999847,0
-0.0545757859945297,0
-0.046626016497612,0
-0.0385379828512669,0
-0.0281438585370779,0
-0.0206264797598124,0
0.0203166380524635,0
-0.00409215595573187,0
0.00971443299204111,0
0.0124381203204393,0
-0.00603587459772825,0
-0.0155790839344263,0
-0.0284709893167019,0
-0.0448431558907032,0
-0.0619603730738163,0
-0.0642435029149055,0
-0.0574908144772053,0
-0.0454663522541523,0
-0.0322419926524162,0
-0.0225058067589998,0
-0.0178792756050825,0
-0.0145417833700776,0
0.00793346669524908,0
0.0163151938468218,0
-0.0147104039788246,0
-0.0133237699046731,0
-0.0293207708746195,0
-0.0168445594608784,0
0.000661897764075547,0
0.0155021287500858,0
0.00849912315607071,0
-0.0147877149283886,0
-0.0289643201977015,0
-0.0342159830033779,0
-0.0429061464965343,0
-0.047870259732008,0
-0.0545910485088825,0
-0.054198257625103,0
-0.0389264784753323,0
-0.0257955733686686,0
-0.0161977484822273,0
-0.00584959052503109,0
-0.00869060400873423,0
-0.00613586185500026,0
0.000386090745450929,0
0.00539940688759089,0
-0.011406447738409,0
-0.0267075207084417,0
-0.0305517707020044,0
-0.0451120473444462,0
-0.0382152684032917,0
-0.0378482230007648,0
-0.0217497181147337,0
0.00108071661088616,0
0.0158606301993132,0
0.00330273807048798,0
-0.0226561389863491,0
-0.0350987911224365,0
-0.0344604291021824,0
-0.0397134497761726,0
-0.0402763225138187,0
-0.0404324159026146,0
-0.0471208468079567,0
-0.0390962138772011,0
-0.0336969643831253,0
-0.0120574440807104,0
0.00808281917124987,0
0.00554596912115812,0
-0.00119988434016705,0
0.00281068007461727,0
0.00124392379075289,0
-0.0154288057237864,0
-0.0216803401708603,0
-0.0153983281925321,0
-0.00903990957885981,0
-0.013391918502748,0
0.00801870971918106,0
0.0151097094640136,0
5.14553285029251e-05,0
-0.0360607840120792,0
-0.054852556437254,0
-0.0563266351819038,0
-0.0590244047343731,0
-0.0535563342273235,0
-0.052136268466711,0
-0.0641060248017311,0
-0.0548484697937965,0
-0.0437548868358135,0
0.00126300484407693,0
0.0163131076842546,0
0.011038969270885,0
0.0106480121612549,0
0.00759097840636969,0
0.0123256351798773,0
0.0040240753442049,0
-0.00330151477828622,0
-0.00543481018394232,0
-0.0118957506492734,0
-0.00218193419277668,0
-0.00129979790654033,0
-0.0210544988512993,0
-0.0599717199802399,0
-0.07064488530159,0
-0.0753665342926979,0
-0.0712424069643021,0
-0.0624585933983326,0
-0.0587112829089165,0
-0.0626777932047844,0
-0.0563555769622326,0
-0.0471032969653606,0
-0.00121829065028578,0
0.0172225087881088,0
0.0154647761955857,0
0.0219202376902103,0
0.0198190230876207,0
0.025600453838706,0
0.0195606127381325,0
0.0185371153056622,0
0.0123774707317352,0
-0.0239338800311089,0
-0.0243680011481047,0
-0.0361842215061188,0
-0.0690328180789948,0
-0.0754936560988426,0
-0.0812131315469742,0
-0.0770237669348717,0
-0.0604095160961151,0
-0.0537469685077667,0
-0.0552870258688927,0
-0.0436439625918865,0
-0.0354026667773724,0
-0.0136395627632737,0
0.0100691448897123,0
0.00654543377459049,0
0.0187514014542103,0
-0.0463756956160069,0
-0.0390844903886318,0
-0.0473903566598892,0
-0.0648846030235291,0
-0.0684221237897873,0
-0.0731680691242218,0
-0.0693536326289177,0
-0.0635387971997261,0
-0.0626868903636932,0
-0.058985061943531,0
-0.0445510894060135,0
-0.0378578081727028,0
-0.0171600207686424,0
0.0127302389591932,0
0.0123280240222812,0
0.0274937078356743,0
-0.0669382512569427,0
-0.0747773796319962,0
-0.0653002113103867,0
